223.9	39.0
121.0	84.1
507.4	88.1
585.5	97.4
567.8	97.8
286.8	98.4
594.2	101.8
215.9	102.4
110.3	103.0
209.4	108.5
321.1	115.3
525.5	115.6
493.1	137.3
576.1	137.8
130.8	141.3
123.6	147.9
518.5	152.0
602.6	152.9
569.3	154.0
586.9	157.9
280.6	158.8
441.2	160.2
599.0	163.0
533.1	163.9
490.3	171.1
581.7	173.6
539.1	174.3
528.3	176.3
147.2	181.1
453.9	182.4
447.8	188.5
650.9	192.6
633.3	202.1
289.6	207.7
283.4	214.3
602.3	214.4
568.9	215.4
264.0	240.8
261.9	248.8
393.6	252.7
629.5	260.1
151.7	272.7
348.5	281.3
467.8	292.8
497.7	296.9
94.7	298.1
91.0	305.7
606.2	337.4
136.0	340.0
495.0	343.1
267.8	361.0
709.1	369.3
623.0	376.0
202.0	388.0
226.6	402.0
144.3	404.8
206.0	410.4
732.4	411.6
779.2	419.8
698.2	420.8
429.6	425.5
167.1	428.6
631.3	440.1
592.0	444.3
607.2	448.1
324.1	451.5
106.0	454.2
142.0	471.3
479.8	477.0
355.0	494.6
439.7	505.0
373.8	516.5
153.4	530.6
329.9	552.2
272.2	604.0
114.9	690.5
